temperature_K,G1_h,G1_k,G1_l,G1_Qx_invA,G1_Qy_invA,G1_Qz_invA,"zero_phonon_intensity_G(1,1,1)","dw_factor_G(1,1,1)_atom1_Si","dw_factor_G(1,1,1)_atom2_Si",G2_h,G2_k,G2_l,G2_Qx_invA,G2_Qy_invA,G2_Qz_invA,"zero_phonon_intensity_G(1,1,0)","dw_factor_G(1,1,0)_atom1_Si","dw_factor_G(1,1,0)_atom2_Si"
0.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,20.663015188954322,0.9844886987784011,0.9844886987784011,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.5945269948610905e-16,0.9827326294884764,0.9827326294884764
50.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,20.36750137534533,0.977423473728357,0.977423473728357,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.5618045975419343e-16,0.9765158113617604,0.9765158113617604
100.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,19.855694560029995,0.9650646978340117,0.9650646978340118,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.504824961400419e-16,0.9655949160747337,0.9655949160747337
150.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,19.30416353745494,0.9515670202496989,0.9515670202496989,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.441966150103358e-16,0.9534020886876262,0.9534020886876262
200.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,18.74777937845,0.9377537396129063,0.9377537396129062,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.3775340568734427e-16,0.9407400911756221,0.9407400911756221
250.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,18.19765134677832,0.9238927469009582,0.9238927469009582,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.3132029157898145e-16,0.9279255751925117,0.9279255751925116
300.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,17.65832375155077,0.9100989748035316,0.9100989748035316,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.249722800726618e-16,0.9151046963754383,0.9151046963754382
350.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,17.131807988645424,0.8964281516352702,0.8964281516352702,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.187451415891077e-16,0.9023509652246883,0.9023509652246882
400.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,16.618983731868784,0.8829093560574893,0.8829093560574893,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.126564126157844e-16,0.889703954516649,0.889703954516649
450.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,16.120174848702472,0.8695584138823439,0.8695584138823439,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.067144727458223e-16,0.8771860597929005,0.8771860597929004
500.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,15.635412632374573,0.8563840326053823,0.8563840326053823,1.0,1.0,0.0,0.0,0.0,2.308423525064831,2.0092279160733494e-16,0.8648103548820518,0.8648103548820516
550.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,15.164566428771998,0.843390853047662,0.8433908530476619,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.9528206394986054e-16,0.8525845483026965,0.8525845483026964
600.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,14.70741294057723,0.8305810738836209,0.8305810738836208,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.897913521820877e-16,0.8405131050549979,0.8405131050549975
650.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,14.263675076970785,0.8179553667320535,0.8179553667320535,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.8444873120682254e-16,0.828598447618883,0.8285984476188827
700.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,13.8330447445344,0.8055134167794137,0.8055134167794136,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.792516691525704e-16,0.8168416679352132,0.8168416679352128
750.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,13.415196727809347,0.7932542553916172,0.7932542553916172,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.7419726090618235e-16,0.8052429666089997,0.8052429666089994
800.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,13.009797405447712,0.7811764719966262,0.7811764719966261,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.6928237603300438e-16,0.7938019333195967,0.7938019333195964
850.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,12.61651035835785,0.7692783531810595,0.7692783531810596,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.6450375502268828e-16,0.782517731283244,0.7825177312832439
900.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,12.235000045411473,0.75755797642356,0.7575579764235599,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.5985807331760904e-16,0.7713892218140267,0.7713892218140265
950.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,11.864934243050053,0.74601327471784,0.74601327471784,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.5534198467493072e-16,0.7604150503920368,0.7604150503920366
1000.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,11.505985674399664,0.7346420820255245,0.7346420820255245,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.5095215093543747e-16,0.7495937073537282,0.7495937073537277
1050.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,11.157833095378942,0.7234421658103799,0.7234421658103799,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.466852626514084e-16,0.7389235714637379,0.7389235714637377
1100.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,10.820162010135975,0.7124112506851965,0.7124112506851963,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.4253805344615883e-16,0.7284029416997193,0.7284029416997189
1150.0,1.0,1.0,1.0,1.1542117625324153,1.1542117625324153,1.1542117625324158,10.492665129348044,0.7015470358299798,0.7015470358299799,1.0,1.0,0.0,0.0,0.0,2.308423525064831,1.385073100001894e-16,0.7180300607695542,0.718030060769554
